year,pitcher,total_pitches,arsenal_size,primary_pitch,primary_pct
2015,430912,992,5,FF,39.11290322580645
2015,548357,1119,4,FF,46.201966041108136
2015,453343,1079,3,FC,59.036144578313255
2015,458919,940,5,SI,48.829787234042556
2015,453265,1097,3,SI,75.47857793983592
2015,459967,303,4,SI,42.9042904290429
2015,465657,1155,5,FF,51.25541125541125
2015,542266,512,4,FF,57.03125
2015,457918,2837,5,FF,56.82058512513218
2015,471822,1022,4,FF,50.978473581213315
2015,595001,661,5,FF,45.688350983358546
2015,475243,1715,6,FF,43.440233236151606
2015,519293,1067,4,FF,48.17244611059044
2015,519166,251,3,FF,63.34661354581673
2015,592341,398,3,SL,41.959798994974875
2015,518748,870,3,FF,54.02298850574713
2015,429717,2906,5,FC,40.88093599449415
2015,592102,1138,3,FF,60.017574692442885
2015,468396,1118,5,FF,52.41502683363149
2015,543766,1044,2,FC,78.63984674329501
2015,519144,2739,5,SI,33.771449434100035
2015,453249,550,2,SI,54.36363636363636
2015,502083,1216,6,FF,59.04605263157895
2015,641490,281,2,FF,72.24199288256227
2015,517593,3048,5,FF,51.80446194225722
